popularity,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,category,time_signature,duration_ms
4,0.659,0.166,2,-14.523,0,0.0753,0.877,0.0502,0.101,0.345,49.32,blues,4,186973
23,0.701,0.205,3,-13.458,1,0.0582,0.959,0.00359,0.0716,0.839,101.734,blues,4,145853
31,0.498,0.824,5,-7.832,0,0.132,0.0641,0.000112,0.18,0.549,157.04,blues,4,251627
40,0.584,0.37,8,-7.313,1,0.0348,0.861,1.07e-05,0.108,0.073,136.012,blues,4,296082
36,0.467,0.122,2,-22.241,1,0.0366,0.954,0.902,0.132,0.411,111.256,blues,4,178333
55,0.482,0.333,2,-9.78,1,0.0636,0.705,0.0,0.106,0.414,73.271,blues,4,295547
32,0.339,0.69,7,-8.307,1,0.0306,0.00388,0.000987,0.983,0.421,154.623,blues,4,332653
51,0.659,0.163,6,-11.864,0,0.0388,0.766,1.41e-05,0.0735,0.473,95.882,blues,4,147507
12,0.474,0.683,2,-7.219,0,0.092,0.528,0.0,0.197,0.834,118.71,blues,4,135400
55,0.947,0.419,8,-13.043,0,0.0578,0.778,0.914,0.121,0.362,113.236,blues,4,289841
20,0.742,0.696,9,-7.198,0,0.0384,0.294,2.34e-06,0.0802,0.765,82.252,blues,4,244624
5,0.638,0.237,6,-11.395,1,0.0411,0.931,0.0154,0.0997,0.475,132.959,blues,4,159219
43,0.472,0.813,9,-5.919,0,0.0399,0.12,0.000109,0.382,0.684,134.922,blues,4,216085
35,0.511,0.431,0,-9.372,0,0.0583,0.686,0.753,0.233,0.699,131.309,blues,4,297493
34,0.699,0.688,5,-4.11,0,0.141,0.755,0.0,0.151,0.843,79.242,blues,4,170387
74,0.316,0.484,9,-9.11,0,0.0308,0.000334,0.00445,0.0912,0.299,117.363,blues,3,269907
48,0.418,0.866,11,-4.033,0,0.0513,0.00381,0.00159,0.581,0.643,130.192,blues,4,248036
41,0.619,0.405,10,-6.802,1,0.0273,0.391,5.97e-06,0.0736,0.562,128.958,blues,3,276609
30,0.487,0.248,10,-9.562,1,0.0263,0.716,0.00291,0.132,0.211,83.339,blues,3,250947
54,0.574,0.691,6,-7.805,0,0.0336,0.0142,0.000431,0.169,0.767,95.009,blues,4,136632
44,0.483,0.487,1,-6.376,0,0.158,0.69,0.0,0.108,0.298,108.944,blues,5,229613
69,0.443,0.727,4,-7.951,1,0.145,0.263,0.000141,0.169,0.566,160.82,blues,4,253333
41,0.687,0.322,4,-13.015,1,0.06,0.962,0.0,0.0818,0.312,107.753,blues,4,269907
19,0.328,0.893,3,-10.854,1,0.0594,0.353,0.441,0.0763,0.508,135.322,blues,4,188546
51,0.532,0.473,2,-7.179,1,0.0295,0.647,8.03e-06,0.0753,0.345,145.072,blues,3,290483
35,0.65,0.424,10,-11.238,1,0.0646,0.87,0.0443,0.0869,0.865,91.977,blues,4,170440
9,0.697,0.407,0,-11.75,1,0.0814,0.829,0.121,0.0782,0.965,100.643,blues,4,240880
37,0.686,0.757,11,-7.337,0,0.0267,0.707,0.000153,0.653,0.896,107.712,blues,4,225200
34,0.341,0.253,9,-10.552,1,0.0294,0.868,0.000154,0.153,0.19,168.388,blues,4,299613
44,0.599,0.0424,4,-12.099,1,0.0572,0.996,0.00176,0.185,0.186,90.001,blues,4,176133
50,0.34,0.491,7,-7.0,1,0.0322,0.428,0.0397,0.226,0.248,176.309,blues,3,254333
51,0.644,0.53,4,-8.296,0,0.0884,0.787,0.0303,0.259,0.678,99.733,blues,4,221214
28,0.533,0.704,7,-9.97,1,0.0485,0.164,2.59e-05,0.0739,0.696,118.935,blues,4,206893
59,0.808,0.532,2,-7.472,1,0.025,0.543,0.00422,0.122,0.816,89.934,blues,4,303920
51,0.57,0.241,4,-12.138,1,0.0473,0.948,0.0224,0.111,0.543,115.352,blues,3,181893
35,0.486,0.873,1,-5.996,1,0.132,0.0694,8.72e-05,0.306,0.511,158.559,blues,4,267467
33,0.644,0.716,4,-10.005,0,0.0823,0.0597,1.45e-05,0.101,0.569,142.059,blues,4,221213
34,0.42,0.373,1,-9.302,0,0.032,0.922,0.0376,0.101,0.322,174.311,blues,3,178651
12,0.636,0.918,9,-6.294,1,0.0559,0.531,9.85e-06,0.328,0.46,96.991,blues,4,156773
